place,title,time,pay,date
인천 계양구, 노브랜드버거 인천계양구청점,시간협의,"시급9,340",16분전
서울 중랑구, 노브랜드버거 중랑역점,13:30~22:30,"시급9,340",23분전
인천 계양구, 노브랜드버거 인천계양구청점,시간협의,"시급9,340",28분전
서울 성동구, (주)신세계푸드 트리마제,07:00~14:30,"시급9,800",30분전
서울 마포구, 노브랜드버거 신촌점,17:30~23:00,"시급9,340",33분전
서울 서대문, 노브랜드버거 신촌점,17:30~23:00,"시급9,340",33분전
인천 계양구, 노브랜드버거 인천계양구청점,시간협의,"시급9,340",33분전
서울 마포구, 노브랜드버거 신촌점,17:30~23:00,"시급9,340",33분전
인천 계양구, 노브랜드버거 인천계양구청점,시간협의,"시급9,340",33분전
서울 서대문, 노브랜드버거 신촌점,17:30~23:00,"시급9,340",33분전
서울 전체, 노브랜드 버거 양재역점,시간협의,"시급9,340",36분전
서울 강남구, 베키아에누보 커피스테이션,시간협의,"시급9,340",43분전
서울 중랑구, 보노보노 스시 성수점,10:30~21:00,"월급2,220,000",46분전
서울 성북구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",48분전
서울 중랑구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",50분전
서울 강남구, 노브랜드버거 방배역점,13:30~22:30,"시급9,340",51분전
서울 동대문, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",52분전
경기 용인시, 노브랜드버거 상현역점,17:00~23:00,"시급9,160",54분전
서울 강북구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",54분전
경기 용인시, 노브랜드버거 상현역점,17:00~23:00,"시급9,160",57분전
서울 종로구, (주)신세계푸드,07:00~16:00,"월급1,952,060",57분전
서울 노원구, (주)신세계푸드,07:00~16:00,"월급1,952,060",59분전
경기 고양시, 노브랜드버거 원마운트점,시간협의,"시급9,340",1시간전
서울 강북구, (주)신세계푸드,11:00~20:00,"월급1,952,060",1시간전
서울 동대문, (주)신세계푸드,07:00~16:00,"월급1,952,060",1시간전
경기 고양시, 노브랜드버거 원마운트점,시간협의,"시급9,340",1시간전
서울 동대문, (주)신세계푸드 노브랜드버거 서울점,시간협의,"시급11,208",1시간전
서울 관악구, 노브랜드버거 방배역점,13:30~22:30,"시급9,340",1시간전
서울 도봉구, (주)신세계푸드,07:00~16:00,"월급1,952,060",1시간전
서울 마포구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",1시간전
서울 중구, 베키아에누보 본점4층,11:00~08:00,"시급9,340",1시간전
서울 강북구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",1시간전
서울 성동구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",1시간전
서울 은평구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",1시간전
서울 중랑구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급9,340",1시간전
서울 강북구, 노브랜드버거 미아사거리역점,시간협의,"시급9,340",2시간전
대구 중구, 노브랜드버거 대구동성로점,09:30~16:30,"시급9,340",2시간전
대전 전체, (주)신세계푸드 노브랜드버거대전시청점,시간협의,"시급11,208",2시간전
경기 용인시, 노브랜드버거 상현역점,17:00~23:00,"시급9,160",2시간전
서울 송파구, NBB잠실학원사거리점,시간협의,"시급9,340",2시간전
대전 유성구, (주)신세계푸드,시간협의,"월급1,952,060",2시간전
서울 동작구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",2시간전
서울 노원구, (주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급1,952,060",2시간전
서울 강서구, 신세계푸드 NBB김포장기점,16:00~23:00,"시급9,340",2시간전
서울 성동구, (주)신세계푸드 트리마제,13:00~22:00,"월급2,194,500",2시간전
서울 강서구, 신세계푸드 NBB김포장기점,16:00~23:00,"시급9,340",2시간전
서울 서초구, 노브랜드버거 방배역점,13:30~22:30,"시급9,340",2시간전
서울 성동구, (주)신세계푸드 트리마제,07:00~14:30,"월급1,921,500",2시간전
서울 광진구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급9,340",2시간전
서울 성동구, 노브랜드버거 신금호역점,시간협의,"월급1,933,380",2시간전
